Character,Width,Height
A,15,17
B,15,17
C,14,17
D,16,17
E,13,17
F,13,17
G,15,17
H,16,17
I,6,17
J,11,17
K,16,17
L,12,17
M,20,17
N,16,17
O,17,17
P,14,17
Q,17,20
R,15,17
S,13,17
T,15,17
U,15,17
V,15,17
W,21,17
X,15,17
Y,15,17
Z,14,17
a,11,11
b,12,17
c,10,11
d,12,17
e,10,11
f,8,17
g,11,16
h,12,17
i,5,17
j,8,22
k,11,17
l,5,17
m,18,11
n,12,11
o,11,11
p,12,15
q,12,16
r,8,11
s,9,11
t,8,14
u,12,11
v,11,11
w,16,11
x,11,11
y,11,16
z,10,11
0,11,16
1,11,16
2,11,16
3,11,16
4,11,16
5,11,16
6,11,16
7,11,16
8,11,16
9,11,16
